NO,Nilai,Kurs Jual,Kurs Beli,Tanggal
337,1,14626.77,14481.23,7/22/2021
338,1,14596.62,14451.38,7/21/2021
339,1,14589.59,14444.42,7/19/2021
340,1,14575.52,14430.49,7/16/2021
341,1,14565.47,14420.54,7/15/2021
342,1,14558.43,14413.57,7/14/2021
343,1,14558.43,14413.57,7/13/2021
344,1,14620.74,14475.26,7/12/2021
345,1,14620.74,14475.26,7/9/2021
346,1,14572.5,14427.5,7/8/2021
347,1,14540.34,14395.66,7/7/2021
348,1,14554.41,14409.59,7/6/2021
349,1,14636.82,14491.18,7/5/2021
350,1,14611.7,14466.31,7/2/2021
351,1,14614.71,14469.29,7/1/2021
352,1,14568.48,14423.52,6/30/2021
353,1,14544.36,14399.64,6/29/2021
354,1,14519.24,14374.77,6/28/2021
355,1,14534.31,14389.69,6/25/2021
356,1,14526.27,14381.73,6/24/2021
357,1,14493.11,14348.9,6/23/2021
358,1,14525.27,14380.74,6/22/2021
359,1,14475.02,14330.99,6/21/2021
360,1,14449.89,14306.11,6/18/2021
361,1,14328.29,14185.72,6/17/2021
362,1,14315.22,14172.78,6/16/2021
363,1,14293.11,14150.89,6/15/2021
364,1,14277.03,14134.97,6/14/2021
365,1,14311.2,14168.8,6/11/2021
366,1,14333.31,14190.69,6/10/2021
367,1,14333.31,14190.69,6/9/2021
368,1,14342.36,14199.65,6/8/2021
369,1,14387.58,14244.42,6/7/2021
370,1,14368.49,14225.52,6/4/2021
371,1,14347.38,14204.62,6/3/2021
372,1,14363.46,14220.54,6/2/2021
373,1,14381.55,14238.45,6/1/2021
374,1,14381.55,14238.45,5/31/2021
375,1,14383.56,14240.44,5/28/2021
376,1,14406.68,14263.33,5/27/2021
377,1,14433.81,14290.19,5/26/2021
378,1,14433.81,14290.19,5/25/2021
379,1,14446.88,14303.13,5/24/2021
380,1,14467.98,14324.02,5/21/2021
381,1,14384.57,14241.44,5/20/2021
382,1,14371.5,14228.5,5/19/2021
383,1,14355.42,14212.58,5/18/2021
384,1,14274.02,14131.99,5/17/2021
385,1,14268.99,14127.01,5/14/2021
386,1,14268.99,14127.01,5/13/2021
387,1,14268.99,14127.01,5/12/2021
388,1,14268.99,14127.01,5/11/2021
389,1,14360.45,14217.56,5/10/2021
390,1,14435.82,14292.18,5/7/2021
391,1,14511.2,14366.81,5/6/2021
392,1,14503.16,14358.85,5/5/2021
393,1,14539.34,14394.67,5/4/2021
394,1,14525.27,14380.74,5/3/2021
395,1,14540.34,14395.66,4/30/2021
396,1,14582.55,14437.45,4/29/2021
397,1,14569.49,14424.52,4/28/2021
398,1,14561.45,14416.56,4/27/2021
399,1,14620.74,14475.26,4/26/2021
400,1,14602.65,14457.35,4/23/2021
401,1,14621.75,14476.26,4/22/2021
402,1,14580.54,14435.46,4/21/2021
403,1,14640.84,14495.16,4/20/2021
404,1,14664.96,14519.04,4/19/2021
405,1,14719.23,14572.77,4/16/2021
406,1,14706.17,14559.84,4/15/2021
407,1,14721.24,14574.76,4/14/2021
408,1,14704.16,14557.85,4/13/2021
409,1,14652.9,14507.1,4/12/2021
410,1,14652.9,14507.1,4/9/2021
411,1,14585.57,14440.44,4/8/2021
412,1,14591.6,14446.41,4/7/2021
413,1,14605.67,14460.34,4/6/2021
414,1,14656.92,14511.08,4/5/2021
415,1,14649.89,14504.12,4/2/2021
416,1,14649.89,14504.12,4/1/2021
417,1,14644.86,14499.14,3/31/2021
418,1,14553.41,14408.6,3/30/2021
419,1,14506.17,14361.83,3/29/2021
420,1,14518.23,14373.77,3/26/2021
421,1,14536.32,14391.68,3/25/2021
422,1,14527.28,14382.73,3/24/2021
423,1,14493.11,14348.9,3/23/2021
424,1,14528.28,14383.72,3/22/2021
425,1,14548.38,14403.62,3/19/2021
426,1,14484.06,14339.94,3/18/2021
427,1,14531.3,14386.71,3/17/2021
428,1,14496.12,14351.88,3/16/2021
429,1,14490.09,14345.91,3/15/2021
430,1,14442.86,14299.15,3/12/2021
431,1,14493.11,14348.9,3/11/2021
432,1,14493.11,14348.9,3/10/2021
433,1,14540.34,14395.66,3/9/2021
434,1,14461.95,14318.05,3/8/2021
435,1,14442.86,14299.15,3/5/2021
436,1,14370.5,14227.51,3/4/2021
437,1,14405.67,14262.33,3/3/2021
438,1,14378.54,14235.47,3/2/2021
439,1,14371.5,14228.5,3/1/2021
440,1,14300.15,14157.86,2/26/2021
441,1,14174.52,14033.48,2/25/2021
442,1,14159.45,14018.56,2/24/2021
443,1,14196.63,14055.37,2/23/2021
444,1,14168.49,14027.51,2/22/2021
445,1,14155.43,14014.58,2/19/2021
446,1,14129.3,13988.71,2/18/2021
447,1,14089.1,13948.91,2/17/2021
448,1,13944.38,13805.63,2/16/2021
449,1,14015.73,13876.27,2/15/2021
450,1,14081.06,13940.95,2/12/2021
451,1,14081.06,13940.95,2/11/2021
452,1,14058.95,13919.06,2/10/2021
453,1,14070,13930,2/9/2021
454,1,14070,13930,2/8/2021
455,1,14132.31,13991.69,2/5/2021
456,1,14106.18,13965.82,2/4/2021
